Address,Value,Name
0x000044d0,0x0004,Jack-o'-Lantern
0x00004500,0x0005,Jack Frost
0x00004530,0x0006,Pixie
0x000045c0,0x0009,Eligor
0x00004620,0x000b,Hua Po
0x000047d0,0x0014,Yaksini
0x000048f0,0x001a,High Pixie
0x00004aa0,0x0023,Mokoi
0x00004b60,0x0027,Incubus
0x00004b90,0x0028,Oni
0x00004c20,0x002b,Makami
0x00004da0,0x0033,Shiki-Ouji
0x00004e00,0x0035,Orobas
0x00004e90,0x0038,Obariyon
0x00004f50,0x003c,Shiisaa
0x00004fe0,0x003f,Leanan Sidhe
0x000050a0,0x0043,Ippon-Datara
0x000050d0,0x0044,Orthrus
0x00005100,0x0045,Succubus
0x000051c0,0x0049,Nekomata
0x00005250,0x004c,Angel
0x00005340,0x0051,Inugami
0x000053d0,0x0054,Slime
0x000054c0,0x0059,Ame-no-Uzume
0x00005670,0x0062,Kelpie
0x00005700,0x0065,Apsaras
0x00005790,0x0068,Koropokguru
0x000057f0,0x006a,Regent
0x00005ac0,0x0079,Mandrake
0x00005b50,0x007c,Silky
0x00005bb0,0x007e,Black Ooze
0x00005be0,0x007f,Bicorn
0x00005c70,0x0082,Kodama
0x00005ca0,0x0083,Agathion
0x00005cd0,0x0084,Onmoraki
0x00005d00,0x0085,Nue
0x00005ee0,0x008f,Berith
0x00006060,0x0097,Nigi Mitama
0x000069c0,0x00c9,Arsène
0x00007740,0x0111,Suzaku
0x000077a0,0x0113,Genbu
0x00007860,0x0117,Jikokuten
0x00007980,0x011d,Matador
0x00008820,0x016b,Raoul
0x000089a0,0x0173,Orpheus Picaro (F)
0x000095d0,0x01b4,Cait Sith
